batchYear,breed,_id,sex,status
2014,RJF,11844,U,U
2014,RJF,11845,F,U
2014,RJF,11846,U,U
2014,RJF,11847,U,U
2014,RJF,11848,U,U
2014,RJF,11849,U,U
2014,RJF,11850,U,U
2014,RJF,11851,U,U
2014,RJF,11852,U,U
2014,RJF,11853,U,U
2014,RJF,11854,M,U
2014,RJF,11855,U,U
2014,RJF,11856,M,U
2014,RJF,11857,U,U
2014,RJF,11858,M,U
2014,RJF,11859,U,U
2014,RJF,11860,U,U
2014,RJF,11861,U,U
2014,RJF,11862,F,U
2014,RJF,11863,M,U
2014,RJF,11864,M,U
2014,RJF,11865,U,U
2014,RJF,11866,U,U
2014,RJF,11867,M,U
2014,RJF,11868,U,U
2014,RJF,11869,F,U
2014,RJF,11870,U,U
2014,RJF,11871,U,U
2014,RJF,11872,F,U
2014,RJF,11873,M,U
2014,RJF,11874,U,U
2014,RJF,11875,U,U
2014,RJF,11876,F,U
2014,RJF,11877,M,U
2014,RJF,11878,F,U
2014,RJF,11879,F,U
2014,RJF,11880,M,U
2014,RJF,11881,F,U
2014,RJF,11882,F,U
2014,RJF,11883,M,U
2014,RJF,11884,F,U
2014,RJF,11885,F,U
2014,RJF,11886,U,U
2014,RJF,11887,M,U
2014,RJF,11888,U,U
2014,RJF,11889,M,U
2014,RJF,11890,F,U
2014,RJF,11891,F,U
2014,RJF,11892,U,U
2014,RJF,11893,M,U
2014,RJF,11894,U,U
2014,RJF,11895,U,U
2014,RJF,11896,U,U
2014,RJF,11897,U,U
2014,RJF,11898,U,U
2014,RJF,11899,U,U
2014,RJF,11900,U,U
2014,RJF,11901,U,U
2014,RJF,11902,U,U
2014,RJF,11903,U,U
2014,RJF,11904,U,U
2014,RJF,11905,U,U
2014,RJF,11906,M,U
2014,RJF,11907,F,U
2014,RJF,11908,F,U
2014,RJF,11909,F,U
2014,RJF,11910,U,U
2014,RJF,11911,U,U
2014,RJF,11912,M,U
2014,RJF,11913,U,U
2014,RJF,11914,F,U
2013,RJF,22701,M,U
2013,RJF,22702,U,U
2013,RJF,22703,U,U
2013,RJF,22704,M,U
2013,RJF,22705,F,U
2013,RJF,22706,F,U
2013,RJF,22707,U,U
2013,RJF,22708,M,U
2013,RJF,22709,M,U
2013,RJF,22710,M,U
2013,RJF,22711,F,U
2013,RJF,22712,U,U
2013,RJF,22713,U,U
2013,RJF,22714,F,U
2013,RJF,22715,F,U
2013,RJF,22716,U,U
2013,RJF,22717,U,U
2013,RJF,22718,F,U
2013,RJF,22719,M,U
2013,RJF,22720,M,U
2013,RJF,22721,F,U
2013,RJF,22722,F,U
2013,RJF,22723,F,U
2013,RJF,22724,U,U
2013,RJF,22725,F,U
2013,RJF,22726,U,U
2013,RJF,22727,M,U
2013,RJF,22728,F,U
2013,RJF,22729,F,U
2013,RJF,22730,M,U
2013,RJF,22731,U,U
2013,RJF,22732,F,U
2013,RJF,22733,U,U
2013,RJF,22734,U,U
2013,RJF,22735,F,U
2013,RJF,22736,M,U
2013,RJF,22737,F,U
2013,RJF,22738,U,U
2013,RJF,22739,M,U
2013,RJF,22801,U,U
2013,RJF,22802,U,U
2013,RJF,22803,F,U
2013,RJF,22804,U,U
2013,RJF,22805,M,U
2013,RJF,22806,M,U
2013,RJF,22807,M,U
2013,RJF,22808,U,U
2013,RJF,22809,U,U
2013,RJF,22810,F,U
2013,RJF,22812,F,U
2013,RJF,22813,U,U
2013,RJF,22814,U,U
2013,RJF,22815,M,U
2013,RJF,22816,M,U
2013,RJF,22817,F,U
2013,RJF,22819,U,U
2013,RJF,22820,U,U
2013,RJF,22821,F,U
2013,RJF,22822,U,U
2013,RJF,22823,F,U
2013,RJF,22824,M,U
2013,RJF,22825,U,U
2013,RJF,22826,U,U
2013,RJF,22827,M,U
2013,RJF,22828,M,U
2013,RJF,22829,U,U
2013,RJF,22830,M,U
2013,RJF,22831,M,U
2013,RJF,22832,U,U
2013,RJF,22833,U,U
2013,RJF,22834,F,U
2013,RJF,22835,U,U
2013,RJF,22836,U,U
2013,RJF,22837,F,U
2013,RJF,22838,U,U
2013,RJF,22839,M,U
2013,RJF,22840,F,U
2013,RJF,22841,U,U
2013,RJF,22842,U,U
2013,RJF,22843,U,U
2013,RJF,22845,U,U
2013,RJF,22846,F,U
2013,RJF,22847,U,U
2013,RJF,22848,U,U
2013,RJF,22849,M,U
2013,RJF,22850,U,U
2013,RJF,22851,U,U
2013,RJF,22852,F,U
2013,RJF,22853,M,U
2013,RJF,22854,U,U
2013,RJF,22855,U,U
2013,RJF,22856,U,U
2013,RJF,22857,M,U
2013,RJF,22858,U,U
2013,RJF,22859,U,U
2013,RJF,22860,M,U
2013,RJF,22861,U,U
2013,RJF,22862,U,U
2013,RJF,22863,M,U
2013,RJF,22864,U,U
2013,RJF,22865,U,U
2013,RJF,22866,M,U
2013,RJF,22867,U,U
2013,RJF,22868,U,U
2013,RJF,22869,F,U
2013,RJF,22870,F,U
2013,RJF,22871,U,U
2013,RJF,22872,U,U
2013,RJF,22873,U,U
2013,RJF,22874,F,U
2013,RJF,22875,U,U
2013,RJF,22876,U,U
2013,RJF,22877,U,U
2013,RJF,22878,U,U
2011,RJF,34451,M,U
2011,RJF,34452,U,U
2011,RJF,34453,F,U
2011,RJF,34454,U,U
2011,RJF,34455,U,U
2011,RJF,34456,U,U
2011,RJF,34458,M,U
2011,RJF,34459,F,U
2011,RJF,34460,M,U
2011,RJF,34461,U,U
2011,RJF,34462,F,U
2011,RJF,34463,U,U
2011,RJF,34464,U,U
2011,RJF,34465,F,U
2011,RJF,34466,M,U
2011,RJF,34467,M,U
2011,RJF,34468,M,U
2011,RJF,34469,F,U
2011,RJF,34470,U,U
2011,RJF,34471,M,U
2011,RJF,34472,F,U
2011,RJF,34473,F,U
2011,RJF,34474,M,U
2011,RJF,34475,U,U
2011,RJF,34476,U,U
2011,RJF,34477,M,U
2011,RJF,34478,U,U
2011,RJF,34479,U,U
2011,RJF,34480,M,U
2011,RJF,34481,U,U
2011,RJF,34482,U,U
2011,RJF,34484,F,U
2011,RJF,34485,M,U
2011,RJF,34486,F,U
2011,RJF,34487,F,U
2011,RJF,34488,F,U
2011,RJF,34490,F,U
2011,RJF,34491,M,U
2011,RJF,34492,M,U
2011,RJF,34493,U,U
2011,RJF,34494,U,U
2011,RJF,34495,F,U
2011,RJF,34496,U,U
2011,RJF,34497,F,U
2011,RJF,34498,U,U
2011,RJF,34499,U,U
2011,RJF,34500,M,U
2013,RJF,34599,U,U
2011,RJF,34678,U,U
2011,RJF,34679,U,U
2011,RJF,34680,U,U
2011,RJF,34681,U,U
2011,RJF,34682,U,U
2011,RJF,34683,M,U
2011,RJF,34685,U,U
2011,RJF,34686,U,U
2011,RJF,34687,U,U
2011,RJF,34688,U,U
2011,RJF,34689,U,U
2011,RJF,34690,U,U
2011,RJF,34691,F,U
2011,RJF,34692,U,U
2015,RJF,58801,M,U
2015,RJF,58802,U,U
2015,RJF,58803,U,U
2015,RJF,58804,U,U
2015,RJF,58805,M,U
2015,RJF,58806,U,U
2015,RJF,58807,F,U
2015,RJF,58808,U,U
2015,RJF,58809,M,U
2015,RJF,58810,F,U
2015,RJF,58811,M,U
2015,RJF,58812,F,U
2015,RJF,58813,F,U
2015,RJF,58814,U,U
2015,RJF,58815,F,U
2015,RJF,58816,U,U
2015,RJF,58817,U,U
2015,RJF,58818,F,U
2015,RJF,58819,F,U
2015,RJF,58820,U,U
2015,RJF,58821,F,U
2015,RJF,58822,U,U
2015,RJF,58823,M,U
2015,RJF,58824,U,U
2015,RJF,58825,M,U
2015,RJF,58826,U,U
2015,RJF,58827,U,U
2015,RJF,58828,U,U
2015,RJF,58829,F,U
2015,RJF,58830,U,U
2015,RJF,58831,U,U
2015,RJF,58832,U,U
2015,RJF,58833,U,U
2015,RJF,58834,F,U
2015,RJF,58835,U,U
2015,RJF,58836,U,U
2015,RJF,58837,U,U
2015,RJF,58838,U,U
2015,RJF,58839,F,U
2015,RJF,58840,U,U
2015,RJF,58841,U,U
2015,RJF,58842,U,U
2015,RJF,58843,M,U
2015,RJF,58844,U,U
2015,RJF,58845,M,U
2015,RJF,58846,U,U
2015,RJF,58847,U,U
2015,RJF,58848,U,U
2015,RJF,58849,M,U
2015,RJF,58850,U,U
2015,RJF,58851,U,U
2015,RJF,58852,M,U
2015,RJF,58853,U,U
2015,RJF,58854,U,U
2015,RJF,58855,U,U
2015,RJF,58856,U,U
2015,RJF,58857,U,U
2015,RJF,58858,M,U
2015,RJF,58859,F,U
2015,RJF,58860,U,U
2015,RJF,58861,U,U
2015,RJF,58862,U,U
2015,RJF,58863,M,U
2015,RJF,58864,U,U
2015,RJF,58865,U,U
2015,RJF,58866,U,U
2015,RJF,58867,U,U
2015,RJF,58868,U,U
2015,RJF,58869,U,U
2015,RJF,58870,U,U
2015,RJF,58871,U,U
2015,RJF,58872,U,U
2015,RJF,58873,U,U
2015,RJF,58874,U,U
2015,RJF,58875,U,U
2015,RJF,58876,U,U
2015,RJF,58877,U,U
2015,RJF,58878,U,U
2015,RJF,58879,U,U
2015,RJF,58880,M,U
2015,RJF,58881,U,U
2015,RJF,58882,M,U
2015,RJF,58883,U,U
2015,RJF,58884,U,U
2015,RJF,58885,U,U
2015,RJF,58886,M,U
2015,RJF,58887,U,U
2015,RJF,58888,F,U
2015,RJF,58889,U,U
2015,RJF,58890,U,U
2015,RJF,58891,U,U
2015,RJF,58892,U,U
2015,RJF,58893,U,U
2015,RJF,58894,U,U
2015,RJF,58895,M,U
2015,RJF,58896,U,U
2015,RJF,58897,U,U
2015,RJF,58898,U,U
2015,RJF,58899,U,U
2015,RJF,58900,M,U
2015,RJF,58901,F,U
2015,RJF,58902,U,U
2015,RJF,58903,U,U
2015,RJF,58904,U,U
2015,RJF,58905,F,U
2015,RJF,58906,U,U
2015,RJF,58907,U,U
2015,RJF,58908,U,U
2015,RJF,58909,M,U
2015,RJF,58910,U,U
2015,RJF,58911,U,U
2015,RJF,58912,U,U
2015,RJF,58913,U,U
2015,RJF,58914,U,U
2015,RJF,58915,U,U
2015,RJF,58916,U,U
2015,RJF,58917,F,U
2015,RJF,58918,U,U
2015,RJF,58919,M,U
2015,RJF,58920,U,U
2015,RJF,58921,U,U
2015,RJF,58922,U,U
2015,RJF,58923,U,U
2015,RJF,58924,U,U
2015,RJF,58925,U,U
2015,RJF,58926,U,U
2015,RJF,58927,U,U
2015,RJF,58928,U,U
2015,RJF,58929,U,U
2015,RJF,58930,F,U
2015,RJF,58931,U,U
2015,RJF,58932,U,U
2015,RJF,58933,F,U
2015,RJF,58934,U,U
2015,RJF,58935,M,U
2015,RJF,58936,M,U
2015,RJF,58937,F,U
2015,RJF,58938,F,U
2015,RJF,58939,U,U
2015,RJF,58940,U,U
2015,RJF,58941,U,U
2015,RJF,58942,F,U
2015,RJF,58943,U,U
2015,RJF,58944,U,U
2015,RJF,58945,U,U
2015,RJF,58946,U,U
2015,RJF,58947,M,U
2015,RJF,58948,F,U
2016,RJF,60376,U,U
2016,RJF,60377,M,U
2016,RJF,60378,F,U
2016,RJF,60379,F,U
2016,RJF,60380,U,U
2016,RJF,60381,F,U
2016,RJF,60382,U,U
2016,RJF,60383,M,U
2016,RJF,60384,U,U
2016,RJF,60385,U,U
2016,RJF,60386,U,U
2016,RJF,60387,M,U
2016,RJF,60388,F,U
2016,RJF,60389,F,U
2016,RJF,60390,U,U
2016,RJF,60391,M,U
2016,RJF,60392,U,U
2016,RJF,60393,U,U
2016,RJF,60394,U,U
2016,RJF,60395,F,U
2016,RJF,60396,U,U
2016,RJF,60397,M,U
2016,RJF,60398,M,U
2016,RJF,60399,U,U
2016,RJF,60400,U,U
2016,RJF,60534,U,U
2016,RJF,60535,F,U
2016,RJF,60536,F,U
2016,RJF,60537,U,U
2016,RJF,60538,M,U
2016,RJF,60539,U,U
2016,RJF,60540,U,U
2016,RJF,60542,U,U
2016,RJF,60543,M,U
2016,RJF,60544,U,U
2016,RJF,60545,U,U
2016,RJF,60546,U,U
2016,RJF,60547,M,U
2016,RJF,60548,F,U
2016,RJF,60549,U,U
2016,RJF,60550,U,U
2016,RJF,60551,M,U
2016,RJF,60552,U,U
2016,RJF,60553,U,U
2016,RJF,60554,U,U
2016,RJF,60555,U,U
2016,RJF,60556,M,U
2016,RJF,60557,U,U
2016,RJF,60558,F,U
2016,RJF,60559,U,U
2016,RJF,60560,U,U
2016,RJF,60561,U,U
2016,RJF,60562,F,U
2016,RJF,60563,M,U
2016,RJF,60564,M,U
2016,RJF,60565,U,U
2016,RJF,60566,U,U
2016,RJF,60567,U,U
2016,RJF,60568,M,U
2016,RJF,60569,U,U
2016,RJF,60570,U,U
2016,RJF,60571,M,U
2016,RJF,60573,M,U
2016,RJF,60574,F,U
2016,RJF,60576,U,U
2016,RJF,60577,U,U
2016,RJF,60578,U,U
2016,RJF,60579,F,U
2016,RJF,60580,M,U
2016,RJF,60581,U,U
2016,RJF,60582,F,U
2016,RJF,60583,U,U
2016,RJF,60584,M,U
2016,RJF,60585,F,U
2016,RJF,60586,M,U
2016,RJF,60587,U,U
2016,RJF,60588,M,U
2016,RJF,60589,M,U
2016,RJF,60591,F,U
2016,RJF,60592,M,U
2016,RJF,60593,M,U
2016,RJF,60594,U,U
2016,RJF,60595,M,U
2016,RJF,60596,U,U
2016,RJF,60597,F,U
2016,RJF,60598,U,U
2016,RJF,60599,F,U
2016,RJF,60600,U,U
2016,RJF,60787,U,U
2016,RJF,60788,U,U
2016,RJF,60789,U,U
2016,RJF,60790,F,U
2016,RJF,60791,F,U
2016,RJF,60961,U,U
2016,RJF,60963,M,U
2016,RJF,60964,F,U
2016,RJF,60966,F,U
2016,RJF,60967,F,U
2016,RJF,60968,M,U
2016,RJF,60969,U,U
2016,RJF,60970,F,U
2016,RJF,60971,U,U
2016,RJF,60972,F,U
2016,RJF,60974,U,U
2016,RJF,60975,U,U
2016,RJF,60976,U,U
2016,RJF,60977,U,U
2016,RJF,60978,F,U
2016,RJF,60979,U,U
2016,RJF,60980,M,U
2016,RJF,60981,U,U
2016,RJF,60982,U,U
2016,RJF,60983,U,U
2016,RJF,60984,M,U
2016,RJF,60985,U,U
2016,RJF,60986,M,U
2016,RJF,60987,F,U
2016,RJF,60988,F,U
2016,RJF,60989,M,U
2016,RJF,60990,F,U
2016,RJF,60991,U,U
2016,RJF,60992,U,U
2016,RJF,60993,U,U
2016,RJF,60995,U,U
2016,RJF,60996,U,U
2016,RJF,60997,F,U
2016,RJF,60998,U,U
2016,RJF,60999,U,U
2016,RJF,61000,U,U
2016,RJF,63476,U,U
2016,RJF,63477,U,U
2016,RJF,63478,U,U
2016,RJF,63479,F,U
